"NDB_No","Shrt_Desc","Water_.g.","Energ_Kcal","Protein_.g.","Lipid_Tot_.g.","Ash_.g.","Carbohydrt_.g.","Fiber_TD_.g.","Sugar_Tot_.g.","Calcium_.mg.","Iron_.mg.","Magnesium_.mg.","Phosphorus_.mg.","Potassium_.mg.","Sodium_.mg.","Zinc_.mg.","Copper_mg.","Manganese_.mg.","Selenium_.µg.","Vit_C_.mg.","Thiamin_.mg.","Riboflavin_.mg.","Niacin_.mg.","Panto_Acid_mg.","Vit_B6_.mg.","Folate_Tot_.µg.","Folic_Acid_.µg.","Food_Folate_.µg.","Folate_DFE_.µg.","Choline_Tot_..mg.","Vit_B12_.µg.","Vit_A_IU","Vit_A_RAE","Retinol_.µg.","Alpha_Carot_.µg.","Beta_Carot_.µg.","Beta_Crypt_.µg.","Lycopene_.µg.","Lut.Zea_..µg.","Vit_E_.mg.","Vit_D_µg","Vit_D_IU","Vit_K_.µg.","FA_Sat_.g.","FA_Mono_.g.","FA_Poly_.g.","Cholestrl_.mg."
11026,"BAMBOO SHOOTS,RAW",91,27,2.6,0.3,0.9,5.2,2.2,3,13,0.5,3,59,533,4,1.1,0.19,0.262,0.8,4,0.15,0.07,0.6,0.161,0.24,7,0,7,7,0,0,20,1,0,0,12,0,0,0,1,0,0,0,0.069,0.007,0.134,0
9040,"BANANAS,RAW",74.91,89,1.09,0.33,0.82,22.84,2.6,12.23,5,0.26,27,22,358,1,0.15,0.078,0.27,1,8.7,0.031,0.073,0.665,0.334,0.367,20,0,20,20,9.8,0,64,3,0,25,26,0,0,22,0.1,0,0,0.5,0.112,0.032,0.073,0
20005,"BARLEY,PEARLED,RAW",10.09,352,9.91,1.16,1.11,77.72,15.6,0.8,29,2.5,79,221,280,9,2.13,0.42,1.322,37.7,0,0.191,0.114,4.604,0.282,0.26,23,0,23,23,37.8,0,22,1,0,0,13,0,0,160,0.02,0,0,2.2,0.244,0.149,0.56,0
16014,"BEANS,BLACK,MATURE SEEDS,RAW",11.02,341,21.6,1.42,3.6,62.36,15.5,2.12,123,5.02,171,352,1483,5,3.65,0.841,1.06,3.2,0,0.9,0.193,1.955,0.899,0.286,444,0,444,444,66.4,0,17,0,0,0,0,0,0,0,0.21,0,0,5.6,0.366,0.123,0.61,0
16032,"BEANS,KIDNEY,RED,MATURE SEEDS,RAW",11.75,337,22.53,1.06,3.37,61.29,15.2,2.1,83,6.69,138,406,1359,12,2.79,0.699,1.111,3.2,4.5,0.608,0.215,2.11,0.78,0.397,394,0,394,394,65.9,0,0,0,0,0,0,0,0,0,0.21,0,0,5.6,0.154,0.082,0.586,0
11052,"BEANS,SNAP,GREEN,RAW",90.32,31,1.83,0.22,0.66,6.97,2.7,3.26,37,1.03,25,38,211,6,0.24,0.069,0.216,0.6,12.2,0.082,0.104,0.734,0.225,0.141,33,0,33,33,15.3,0,690,35,0,69,379,0,0,640,0.41,0,0,43,0.05,0.01,0.113,0
16049,"BEANS,WHITE,MATURE SEEDS,RAW",11.32,333,23.36,0.85,4.2,60.27,15.2,2.11,240,10.44,190,301,1795,16,3.67,0.984,1.796,12.8,0,0.437,0.146,0.479,0.732,0.318,388,0,388,388,66.2,0,0,0,0,0,0,0,0,0,0.21,0,0,5.6,0.219,0.074,0.364,0
23093,"BEEF,CHUCK FOR STEW,LN & FAT,ALL GRDS,RAW",72.51,128,21.75,4.48,1.11,0.16,0,0,13,2.12,21,213,367,80,5.43,0.088,0.014,24.2,0,0.08,0.17,5.003,0.665,0.567,3,0,3,3,71.8,2.3,6,2,2,0,0,0,0,0,0.17,0.1,4,1.5,1.86,2.32,0.3,64
23095,"BEEF,CHUCK FOR STEW,LN & FAT,CHOIC,RAW",72.32,130,21.64,4.81,1.11,0.12,0,0,13,2.09,21,217,373,79,5.41,0.084,0.014,23.6,0,0.08,0.17,4.887,0.66,0.568,3,0,3,3,69.1,2.27,6,2,2,0,0,0,0,0,0.18,0.1,4,1.5,1.988,2.51,0.31,63
23094,"BEEF,CHUCK FOR STEW,LN & FAT,SEL,RAW",72.79,124,21.9,3.99,1.12,0.21,0,0,14,2.2,20,209,359,81,5.51,0.093,0.014,26,0,0.08,0.17,5.19,0.67,0.568,4,0,4,4,74.6,2.42,7,2,2,0,0,0,0,0,0.15,0.1,3,1.5,1.748,2.16,0.287,66
